datetime,pm2.5,co,no,no2,pm10,nox,o3,veloc.,direc.,so2
2019-01-03 08:00:00,20.0,0.1,149.0,51.0,54.0,279.0,3.0,0.1,100.0,9.0
2019-01-03 09:00:00,28.0,0.2,176.0,59.0,61.0,330.0,4.0,0.2,186.0,8.0
2019-01-03 10:00:00,18.0,0.2,106.0,60.0,46.0,223.0,5.0,0.2,263.0,5.0
2019-01-03 11:00:00,20.0,0.2,73.0,63.0,50.0,175.0,7.0,0.3,315.0,5.0
2019-01-03 12:00:00,21.0,0.2,31.0,59.0,45.0,106.0,17.0,0.1,75.0,3.0
2019-01-03 13:00:00,24.0,0.2,29.0,61.0,45.0,105.0,14.0,0.7,87.0,3.0
2019-01-03 14:00:00,26.0,0.2,67.0,69.0,46.0,172.0,5.0,1.2,109.0,3.0
2019-01-03 15:00:00,17.0,0.1,16.0,51.0,31.0,76.0,29.0,0.9,110.0,3.0
2019-01-03 16:00:00,14.0,0.1,10.0,55.0,29.0,70.0,16.0,0.8,134.0,3.0
2019-01-03 17:00:00,13.0,0.1,2.0,39.0,32.0,41.0,30.0,0.4,215.0,3.0
2019-01-03 18:00:00,15.0,0.1,5.0,68.0,22.0,76.0,4.0,0.3,221.0,3.0
2019-01-03 19:00:00,19.0,0.1,4.0,58.0,28.0,64.0,14.0,0.5,237.0,3.0
2019-01-03 20:00:00,21.0,0.2,13.0,63.0,31.0,83.0,10.0,0.7,252.0,4.0
2019-01-03 21:00:00,39.0,0.7,88.0,77.0,56.0,211.0,3.0,0.3,319.0,7.0
2019-01-03 22:00:00,36.0,0.6,91.0,76.0,51.0,216.0,3.0,0.4,338.0,8.0
2019-01-03 23:00:00,43.0,0.4,111.0,60.0,61.0,231.0,4.0,0.2,34.0,7.0
2019-01-04 00:00:00,43.0,0.4,83.0,50.0,56.0,178.0,3.0,0.2,218.0,8.0
2019-01-04 01:00:00,34.0,0.2,37.0,38.0,44.0,95.0,3.0,0.3,224.0,8.0
2019-01-04 02:00:00,21.0,0.3,4.0,35.0,25.0,40.0,9.0,0.3,356.0,8.0
2019-01-04 03:00:00,11.0,0.1,1.0,17.0,14.0,18.0,26.0,0.4,265.0,8.0
2019-01-04 04:00:00,13.0,0.1,4.0,25.0,16.0,29.0,11.0,0.3,222.0,8.0
2019-01-04 05:00:00,15.0,0.1,10.0,32.0,18.0,48.0,6.0,0.3,214.0,8.0
2019-01-04 06:00:00,9.0,0.1,1.0,31.0,11.0,32.0,9.0,0.8,244.0,8.0
2019-01-04 07:00:00,15.0,0.1,25.0,45.0,23.0,83.0,3.0,1.1,229.0,9.0
2019-01-04 08:00:00,21.0,0.1,68.0,51.0,30.0,155.0,3.0,0.9,226.0,7.0
2019-01-04 09:00:00,23.0,0.1,82.0,59.0,41.0,185.0,4.0,0.5,263.0,4.0
2019-01-04 10:00:00,19.0,0.1,53.0,57.0,35.0,138.0,7.0,0.5,281.0,4.0
2019-01-04 11:00:00,19.0,0.1,46.0,57.0,37.0,127.0,11.0,0.5,289.0,4.0
2019-01-04 12:00:00,23.0,0.1,25.0,57.0,40.0,95.0,17.0,0.6,262.0,3.0
2019-01-04 13:00:00,19.0,0.1,13.0,54.0,36.0,73.0,25.0,0.2,3.0,3.0
2019-01-04 14:00:00,27.0,0.1,9.0,53.0,51.0,67.0,30.0,1.7,87.0,3.0
2019-01-04 15:00:00,20.0,0.1,4.0,37.0,30.0,43.0,46.0,1.9,87.0,3.0
2019-01-04 16:00:00,20.0,0.2,1.0,31.0,32.0,32.0,44.0,1.7,79.0,3.0
2019-01-04 17:00:00,24.0,0.2,4.0,39.0,33.0,44.0,29.0,0.8,79.0,3.0
2019-01-04 18:00:00,17.0,0.4,5.0,50.0,25.0,58.0,24.0,0.5,56.0,3.0
2019-01-04 19:00:00,26.0,0.4,2.0,51.0,34.0,54.0,16.0,0.5,39.0,3.0
2019-01-04 20:00:00,23.0,0.4,3.0,52.0,31.0,57.0,14.0,0.7,43.0,5.0
2019-01-04 21:00:00,24.0,0.4,3.0,54.0,31.0,58.0,13.0,0.5,345.0,7.0
2019-01-04 22:00:00,29.0,0.3,12.0,64.0,36.0,82.0,5.0,0.5,334.0,6.0
2019-01-04 23:00:00,37.0,0.4,14.0,59.0,44.0,80.0,6.0,0.5,345.0,5.0
2019-01-05 00:00:00,34.0,0.3,3.0,53.0,41.0,57.0,11.0,0.4,301.0,4.0
2019-01-05 01:00:00,36.0,0.3,2.0,50.0,41.0,53.0,6.0,0.3,250.0,4.0
2019-01-05 02:00:00,33.0,0.3,1.0,40.0,37.0,41.0,16.0,0.4,256.0,6.0
2019-01-05 03:00:00,26.0,0.2,1.0,24.0,30.0,25.0,28.0,0.4,231.0,8.0
2019-01-05 04:00:00,27.0,0.1,1.0,18.0,29.0,19.0,33.0,0.8,296.0,8.0
2019-01-05 05:00:00,25.0,0.1,1.0,15.0,29.0,16.0,33.0,0.8,289.0,8.0
2019-01-05 06:00:00,24.0,0.1,1.0,19.0,27.0,19.0,24.0,0.6,269.0,8.0
2019-01-05 07:00:00,27.0,0.1,1.0,31.0,31.0,32.0,10.0,0.8,254.0,8.0
2019-01-05 08:00:00,25.0,0.1,2.0,38.0,28.0,41.0,10.0,1.3,237.0,5.0
2019-01-05 09:00:00,24.0,0.1,3.0,34.0,27.0,38.0,15.0,1.3,245.0,3.0
2019-01-05 10:00:00,24.0,0.1,5.0,32.0,27.0,39.0,19.0,1.7,236.0,3.0
2019-01-05 11:00:00,19.0,0.1,3.0,28.0,22.0,32.0,28.0,1.9,231.0,3.0
2019-01-05 12:00:00,14.0,0.1,2.0,28.0,19.0,31.0,28.0,1.3,234.0,3.0
2019-01-05 13:00:00,14.0,0.1,4.0,33.0,19.0,38.0,30.0,0.8,243.0,3.0
2019-01-05 14:00:00,15.0,0.1,2.0,30.0,20.0,33.0,37.0,1.4,239.0,3.0
2019-01-05 15:00:00,14.0,0.1,1.0,21.0,19.0,22.0,47.0,2.0,237.0,3.0
2019-01-05 16:00:00,16.0,0.1,1.0,22.0,20.0,23.0,43.0,0.6,219.0,3.0
2019-01-05 17:00:00,17.0,0.1,1.0,23.0,21.0,25.0,40.0,1.2,223.0,3.0
2019-01-05 18:00:00,21.0,0.1,4.0,44.0,26.0,50.0,18.0,1.2,241.0,3.0
2019-01-05 19:00:00,23.0,0.1,2.0,46.0,31.0,49.0,14.0,0.6,263.0,3.0
2019-01-05 20:00:00,28.0,0.4,35.0,62.0,44.0,116.0,4.0,0.4,334.0,4.0
2019-01-05 21:00:00,33.0,0.6,49.0,65.0,50.0,140.0,4.0,0.3,338.0,3.0
2019-01-05 22:00:00,40.0,0.4,70.0,60.0,94.0,168.0,4.0,0.2,192.0,5.0
2019-01-05 23:00:00,39.0,0.5,52.0,57.0,57.0,137.0,4.0,0.3,243.0,5.0
2019-01-06 00:00:00,34.0,0.4,25.0,55.0,42.0,92.0,5.0,0.5,245.0,7.0
2019-01-06 01:00:00,30.0,0.1,2.0,40.0,36.0,43.0,9.0,0.6,245.0,7.0
2019-01-06 02:00:00,29.0,0.1,1.0,35.0,33.0,37.0,16.0,0.9,247.0,7.0
2019-01-06 03:00:00,26.0,0.1,1.0,29.0,30.0,30.0,18.0,1.1,239.0,4.0
2019-01-06 04:00:00,23.0,0.1,1.0,24.0,26.0,25.0,19.0,0.3,243.0,6.0
2019-01-06 05:00:00,23.0,0.1,1.0,26.0,26.0,27.0,17.0,0.7,242.0,7.0
2019-01-06 06:00:00,22.0,0.1,1.0,22.0,24.0,23.0,22.0,0.7,250.0,8.0
2019-01-06 07:00:00,26.0,0.1,1.0,31.0,31.0,31.0,6.0,0.3,226.0,8.0
2019-01-06 08:00:00,24.0,0.1,2.0,33.0,28.0,37.0,9.0,0.7,242.0,6.0
2019-01-06 09:00:00,23.0,0.1,3.0,34.0,27.0,38.0,16.0,1.7,243.0,3.0
2019-01-06 10:00:00,21.0,0.1,2.0,30.0,25.0,33.0,25.0,1.1,262.0,3.0
2019-01-06 11:00:00,18.0,0.1,1.0,29.0,23.0,31.0,27.0,0.6,272.0,3.0
2019-01-06 12:00:00,14.0,0.1,2.0,32.0,21.0,34.0,32.0,0.6,270.0,3.0
2019-01-06 13:00:00,12.0,0.1,2.0,32.0,18.0,34.0,38.0,0.6,249.0,3.0
2019-01-06 14:00:00,9.0,0.1,1.0,25.0,14.0,26.0,50.0,1.0,239.0,3.0
2019-01-06 15:00:00,18.0,0.1,1.0,24.0,23.0,25.0,50.0,0.2,170.0,3.0
2019-01-06 16:00:00,16.0,0.1,1.0,22.0,19.0,23.0,51.0,0.3,244.0,3.0
2019-01-06 17:00:00,17.0,0.1,1.0,18.0,21.0,19.0,52.0,0.2,237.0,3.0
2019-01-06 18:00:00,22.0,0.1,1.0,41.0,34.0,42.0,30.0,0.4,229.0,3.0
2019-01-06 19:00:00,16.0,0.1,3.0,38.0,29.0,42.0,29.0,0.6,229.0,3.0
2019-01-06 20:00:00,31.0,0.3,51.0,67.0,85.0,144.0,4.0,0.5,233.0,5.0
2019-01-06 21:00:00,26.0,0.5,44.0,65.0,39.0,132.0,3.0,0.2,238.0,5.0
2019-01-06 22:00:00,23.0,0.3,22.0,54.0,30.0,87.0,3.0,1.1,223.0,3.0
2019-01-06 23:00:00,28.0,0.3,17.0,50.0,80.0,76.0,3.0,0.3,226.0,5.0
2019-01-07 00:00:00,26.0,0.2,13.0,49.0,43.0,68.0,3.0,0.4,228.0,6.0
2019-01-07 01:00:00,20.0,0.2,4.0,42.0,25.0,47.0,10.0,0.3,261.0,8.0
2019-01-07 02:00:00,21.0,0.1,1.0,34.0,27.0,34.0,11.0,0.5,231.0,8.0
2019-01-07 03:00:00,21.0,0.1,1.0,28.0,26.0,28.0,12.0,0.2,224.0,8.0
2019-01-07 04:00:00,20.0,0.1,1.0,27.0,24.0,28.0,12.0,0.2,224.0,8.0
2019-01-07 05:00:00,18.0,0.1,1.0,29.0,24.0,29.0,6.0,0.2,224.0,9.0
2019-01-07 06:00:00,17.0,0.1,23.0,40.0,29.0,75.0,3.0,0.2,225.0,10.0
2019-01-07 07:00:00,17.0,0.1,78.0,57.0,35.0,176.0,3.0,0.4,228.0,10.0
2019-01-07 08:00:00,26.0,0.2,146.0,65.0,64.0,288.0,3.0,0.3,226.0,9.0
2019-01-07 09:00:00,25.0,0.3,179.0,80.0,85.0,355.0,3.0,0.3,300.0,8.0
2019-01-07 10:00:00,19.0,0.3,138.0,84.0,62.0,296.0,4.0,0.2,325.0,8.0
2019-01-07 11:00:00,18.0,0.2,94.0,79.0,55.0,223.0,12.0,0.5,354.0,8.0
2019-01-07 12:00:00,14.0,0.1,15.0,52.0,35.0,75.0,33.0,2.0,54.0,4.0
2019-01-07 13:00:00,8.0,0.1,1.0,31.0,19.0,32.0,50.0,2.1,60.0,3.0
2019-01-07 14:00:00,8.0,0.2,1.0,22.0,13.0,23.0,61.0,3.2,88.0,3.0
2019-01-07 15:00:00,8.0,0.1,1.0,18.0,13.0,20.0,58.0,2.7,88.0,3.0
2019-01-07 16:00:00,8.0,0.1,1.0,24.0,14.0,25.0,53.0,1.8,87.0,3.0
2019-01-07 17:00:00,9.0,0.1,1.0,34.0,16.0,36.0,38.0,0.8,96.0,3.0
2019-01-07 18:00:00,12.0,0.3,7.0,54.0,18.0,65.0,20.0,0.1,42.0,3.0
2019-01-07 19:00:00,19.0,0.6,132.0,87.0,29.0,290.0,4.0,0.3,5.0,4.0
2019-01-07 20:00:00,27.0,1.0,265.0,100.0,40.0,506.0,5.0,0.3,360.0,8.0
2019-01-07 21:00:00,34.0,1.1,221.0,103.0,48.0,442.0,5.0,0.6,355.0,9.0
2019-01-07 22:00:00,32.0,0.7,121.0,93.0,43.0,278.0,4.0,0.5,349.0,7.0
2019-01-07 23:00:00,32.0,0.5,84.0,73.0,41.0,202.0,4.0,0.3,344.0,6.0
2019-01-08 00:00:00,27.0,0.4,12.0,52.0,33.0,70.0,5.0,0.3,329.0,4.0
2019-01-08 01:00:00,22.0,0.3,1.0,38.0,27.0,39.0,10.0,0.3,353.0,3.0
2019-01-08 02:00:00,21.0,0.2,1.0,29.0,26.0,30.0,10.0,0.2,186.0,7.0
2019-01-08 03:00:00,17.0,0.1,1.0,24.0,21.0,24.0,21.0,0.4,318.0,8.0
2019-01-08 04:00:00,13.0,0.1,1.0,17.0,17.0,18.0,25.0,0.9,253.0,8.0
2019-01-08 05:00:00,10.0,0.1,1.0,15.0,13.0,16.0,28.0,0.7,272.0,8.0
2019-01-08 06:00:00,17.0,0.1,1.0,25.0,21.0,26.0,18.0,0.7,253.0,8.0
2019-01-08 07:00:00,11.0,0.1,4.0,40.0,16.0,45.0,11.0,0.6,262.0,8.0
2019-01-08 08:00:00,17.0,0.1,39.0,58.0,29.0,118.0,3.0,0.9,250.0,7.0
2019-01-08 09:00:00,30.0,0.5,84.0,64.0,47.0,193.0,6.0,1.6,231.0,4.0
2019-01-08 10:00:00,21.0,0.1,40.0,55.0,35.0,117.0,9.0,1.1,250.0,3.0
2019-01-08 11:00:00,19.0,0.1,24.0,53.0,32.0,89.0,16.0,1.0,264.0,3.0
2019-01-08 12:00:00,18.0,0.1,8.0,39.0,29.0,51.0,30.0,1.8,232.0,3.0
2019-01-08 13:00:00,30.0,0.1,4.0,38.0,44.0,44.0,33.0,1.3,225.0,3.0
2019-01-08 14:00:00,25.0,0.1,2.0,36.0,35.0,39.0,40.0,0.6,217.0,3.0
2019-01-08 15:00:00,18.0,0.1,1.0,31.0,26.0,32.0,47.0,0.4,177.0,3.0
2019-01-08 16:00:00,22.0,0.1,1.0,35.0,33.0,36.0,41.0,0.5,208.0,3.0
2019-01-08 17:00:00,20.0,0.1,1.0,39.0,28.0,40.0,41.0,0.4,238.0,3.0
2019-01-08 18:00:00,23.0,0.1,1.0,45.0,33.0,47.0,31.0,0.3,219.0,3.0
2019-01-08 19:00:00,29.0,0.8,60.0,80.0,43.0,172.0,7.0,0.3,12.0,3.0
2019-01-08 20:00:00,37.0,0.5,39.0,78.0,50.0,138.0,5.0,0.3,356.0,3.0
2019-01-08 21:00:00,42.0,0.3,18.0,71.0,53.0,100.0,6.0,0.3,324.0,3.0
2019-01-08 22:00:00,48.0,0.5,99.0,75.0,65.0,227.0,6.0,0.2,340.0,7.0
2019-01-08 23:00:00,50.0,0.7,147.0,76.0,63.0,301.0,6.0,0.2,350.0,8.0
2019-01-09 00:00:00,53.0,0.5,126.0,65.0,67.0,258.0,6.0,0.2,293.0,8.0
2019-01-09 01:00:00,53.0,0.3,107.0,50.0,67.0,213.0,6.0,0.1,19.0,8.0
2019-01-09 02:00:00,46.0,0.3,74.0,39.0,58.0,153.0,5.0,0.2,284.0,8.0
2019-01-09 03:00:00,41.0,0.2,49.0,35.0,51.0,110.0,4.0,0.2,253.0,8.0
2019-01-09 04:00:00,39.0,0.2,37.0,31.0,49.0,87.0,4.0,0.2,220.0,8.0
2019-01-09 05:00:00,38.0,0.1,25.0,31.0,46.0,69.0,4.0,0.3,191.0,8.0
2019-01-09 06:00:00,40.0,0.1,45.0,37.0,51.0,106.0,4.0,0.3,215.0,9.0
2019-01-09 07:00:00,37.0,0.2,88.0,39.0,49.0,173.0,4.0,0.2,225.0,8.0
2019-01-09 08:00:00,45.0,0.3,174.0,64.0,65.0,331.0,5.0,0.3,250.0,10.0
2019-01-09 09:00:00,24.0,0.2,91.0,65.0,42.0,204.0,3.0,1.9,241.0,8.0
2019-01-09 10:00:00,25.0,0.1,85.0,65.0,45.0,194.0,5.0,2.1,238.0,7.0
2019-01-09 11:00:00,19.0,0.1,42.0,57.0,36.0,122.0,10.0,2.1,239.0,6.0
2019-01-09 12:00:00,6.0,0.1,7.0,42.0,16.0,53.0,26.0,0.8,247.0,3.0
2019-01-09 13:00:00,6.0,0.1,2.0,38.0,16.0,41.0,32.0,0.7,244.0,3.0
2019-01-09 14:00:00,6.0,0.1,2.1818181818181817,37.77272727272727,15.909090909090908,41.09090909090909,33.27272727272727,0.7181818181818181,235.04545454545453,3.0
2019-01-09 15:00:00,6.0,0.1,2.3636363636363638,37.54545454545455,15.818181818181818,41.18181818181818,34.54545454545455,0.7363636363636363,226.0909090909091,3.0
2019-01-09 16:00:00,6.0,0.1,2.5454545454545454,37.31818181818182,15.727272727272727,41.27272727272727,35.81818181818182,0.7545454545454545,217.13636363636363,3.0
2019-01-09 17:00:00,6.0,0.1,2.7272727272727275,37.09090909090909,15.636363636363637,41.36363636363637,37.09090909090909,0.7727272727272727,208.1818181818182,3.0
2019-01-09 18:00:00,6.0,0.1,2.909090909090909,36.86363636363637,15.545454545454545,41.45454545454545,38.36363636363636,0.7909090909090909,199.22727272727272,3.0
2019-01-09 19:00:00,6.0,0.1,3.090909090909091,36.63636363636363,15.454545454545455,41.54545454545455,39.63636363636364,0.8090909090909091,190.27272727272725,3.0
2019-01-09 20:00:00,6.0,0.1,3.2727272727272725,36.40909090909091,15.363636363636363,41.63636363636363,40.90909090909091,0.8272727272727273,181.3181818181818,3.0
2019-01-09 21:00:00,6.0,0.1,3.4545454545454546,36.18181818181818,15.272727272727273,41.72727272727273,42.18181818181818,0.8454545454545455,172.36363636363637,3.0
2019-01-09 22:00:00,6.0,0.1,3.6363636363636367,35.95454545454545,15.181818181818182,41.81818181818182,43.45454545454545,0.8636363636363636,163.4090909090909,3.0
2019-01-09 23:00:00,6.0,0.1,3.8181818181818183,35.72727272727273,15.09090909090909,41.90909090909091,44.72727272727273,0.8818181818181818,154.45454545454544,3.0
2019-01-10 00:00:00,6.0,0.1,4.0,35.5,15.0,42.0,46.0,0.9,145.5,3.0
2019-01-10 01:00:00,6.0,0.1,4.181818181818182,35.27272727272727,14.90909090909091,42.09090909090909,47.27272727272727,0.9181818181818182,136.54545454545453,3.0
2019-01-10 02:00:00,6.0,0.1,4.363636363636363,35.04545454545455,14.818181818181818,42.18181818181818,48.54545454545455,0.9363636363636364,127.59090909090908,3.0
2019-01-10 03:00:00,6.0,0.1,4.545454545454545,34.81818181818182,14.727272727272727,42.27272727272727,49.81818181818181,0.9545454545454546,118.63636363636363,3.0
2019-01-10 04:00:00,6.0,0.1,4.7272727272727275,34.59090909090909,14.636363636363637,42.36363636363637,51.09090909090909,0.9727272727272728,109.68181818181819,3.0
2019-01-10 05:00:00,6.0,0.1,4.909090909090909,34.36363636363637,14.545454545454545,42.45454545454545,52.36363636363636,0.990909090909091,100.72727272727272,3.0
2019-01-10 06:00:00,6.0,0.1,5.090909090909091,34.13636363636364,14.454545454545455,42.54545454545455,53.63636363636364,1.0090909090909093,91.77272727272725,3.0
2019-01-10 07:00:00,6.0,0.1,5.272727272727273,33.90909090909091,14.363636363636363,42.63636363636363,54.90909090909091,1.0272727272727273,82.81818181818181,3.0
2019-01-10 08:00:00,6.0,0.1,5.454545454545455,33.68181818181818,14.272727272727273,42.72727272727273,56.18181818181818,1.0454545454545454,73.86363636363635,3.0
2019-01-10 09:00:00,6.0,0.1,5.636363636363637,33.45454545454545,14.181818181818182,42.81818181818182,57.45454545454545,1.0636363636363637,64.9090909090909,3.0
2019-01-10 10:00:00,6.0,0.1,5.818181818181818,33.22727272727273,14.09090909090909,42.90909090909091,58.72727272727273,1.081818181818182,55.95454545454544,3.0
2019-01-10 11:00:00,6.0,0.1,6.0,33.0,14.0,43.0,60.0,1.1,47.0,3.0
2019-01-10 12:00:00,6.0,0.1,6.0,25.0,11.0,34.0,66.0,1.1,19.0,3.0
2019-01-10 13:00:00,6.0,0.1,5.0,21.0,10.0,29.0,71.0,0.8,42.0,3.0
2019-01-10 14:00:00,5.0,0.1,5.0,18.0,11.0,26.0,71.0,0.9,92.0,3.0
2019-01-10 15:00:00,5.0,0.1,6.0,22.0,16.0,30.0,70.0,2.3,68.0,3.0
2019-01-10 16:00:00,5.0,0.1,6.0,23.0,18.0,31.0,67.0,1.9,69.0,3.0
2019-01-10 17:00:00,5.0,0.1,6.0,30.0,20.0,39.0,56.0,0.8,66.0,3.0
2019-01-10 18:00:00,8.0,0.3,9.0,70.0,30.0,83.0,24.0,0.2,30.0,3.0
2019-01-10 19:00:00,13.0,0.4,34.0,100.0,36.0,153.0,5.0,0.4,359.0,3.0
2019-01-10 20:00:00,13.0,0.4,59.0,104.0,31.0,195.0,4.0,0.5,358.0,3.0
2019-01-10 21:00:00,9.0,0.2,12.0,84.0,18.0,103.0,14.0,0.5,342.0,3.0
2019-01-10 22:00:00,8.0,0.1,6.0,64.0,15.0,74.0,27.0,0.5,328.0,3.0
2019-01-10 23:00:00,9.0,0.1,5.0,47.0,13.0,54.0,40.0,0.6,327.0,3.0
2019-01-11 00:00:00,7.0,0.1,5.0,33.0,10.0,40.0,47.0,0.7,305.0,3.0
2019-01-11 01:00:00,6.0,0.1,4.0,24.0,10.0,30.0,52.0,0.5,278.0,3.0
2019-01-11 02:00:00,5.0,0.1,4.0,21.0,9.0,27.0,53.0,0.8,284.0,3.0
2019-01-11 03:00:00,5.0,0.1,4.0,19.0,7.0,26.0,51.0,0.5,261.0,3.0
2019-01-11 04:00:00,7.0,0.1,4.0,27.0,10.0,33.0,40.0,1.4,254.0,3.0
2019-01-11 05:00:00,8.0,0.1,4.0,43.0,13.0,50.0,25.0,0.9,239.0,3.0
2019-01-11 06:00:00,7.0,0.1,5.0,49.0,12.0,56.0,17.0,0.3,267.0,3.0
2019-01-11 07:00:00,10.0,0.1,35.0,69.0,24.0,123.0,4.0,0.2,284.0,3.0
2019-01-11 08:00:00,19.0,0.1,117.0,93.0,51.0,273.0,3.0,1.1,230.0,6.0
2019-01-11 09:00:00,18.0,0.1,85.0,91.0,55.0,221.0,5.0,1.1,254.0,6.0
2019-01-11 10:00:00,18.0,0.1,48.0,84.0,47.0,158.0,12.0,1.1,252.0,5.0
