date,metro,bus,road,train,total
2023-08-20,739665,526815,270249,228064,1764793
2023-08-21,1221361,949072,550738,391724,3112895
2023-08-22,1244390,974934,561822,393827,3174973
2023-08-23,1268467,985665,570266,400808,3225206
2023-08-24,1265916,985269,574008,397791,3222984
2023-08-25,1271755,997288,578304,402835,3250182
2023-08-26,935883,692167,370027,283521,2281598
2023-08-27,821735,572047,303970,252729,1950481
2023-08-28,1368053,1064952,618363,436590,3487958
2023-08-29,1450578,1113598,648745,454442,3667363
2023-08-30,1508673,1155362,668606,480207,3812848
2023-08-31,1548201,1167362,683556,476967,3876086
2023-09-01,1647442,1236201,729217,487630,4100490
2023-09-02,1161415,797401,411497,308325,2678638
2023-09-03,730164,491658,227237,204441,1653500
2023-09-04,1644465,1378214,732711,488556,4243946
2023-09-05,1879932,1549716,844468,554469,4828585
2023-09-06,1938001,1645692,873799,564179,5021671
2023-09-07,1966682,1665721,920793,577941,5131137
2023-09-08,1990211,1671550,911417,572224,5145402
2023-09-09,1309922,914889,490602,358471,3073884
2023-09-10,1071563,720927,366848,301424,2460762
2023-09-11,2019452,1618943,971494,611873,5221762
2023-09-12,2082566,1693732,993069,630741,5400108
2023-09-13,2152856,1718311,1031058,649689,5551914
2023-09-14,2131675,1702466,1007797,633814,5475752
2023-09-15,2131463,1660749,1003369,613164,5408745
2023-09-16,1376331,961048,492838,366866,3197083
2023-09-17,1090924,614110,321544,298489,2325067
2023-09-18,2082271,1695821,1022771,666170,5467033
2023-09-19,2180588,1760457,1057685,665566,5664296
2023-09-20,2254678,1774567,1068145,674901,5772291
2023-09-21,2217978,1730270,1041134,743435,5732817
2023-09-22,2290592,1766000,1083207,718284,5858083
2023-09-23,1496399,1034909,528240,448307,3507855
2023-09-24,1256982,790708,377714,346612,2772016
2023-09-25,2107942,1734334,1045294,648127,5535697
2023-09-26,2197540,1785838,1072159,666538,5722075
2023-09-27,2289592,1765647,1077244,676616,5809099
2023-09-28,2259514,1769889,1077429,660660,5767492
2023-09-29,2325264,1774715,1094887,663894,5858760
2023-09-30,1537369,1039915,541855,440940,3560079
2023-10-01,1193009,770722,376053,318341,2658125
2023-10-02,2175962,1801203,1069789,651361,5698315
2023-10-03,2307348,1804378,1104627,675223,5891576
2023-10-04,2400828,1816806,1112252,689321,6019207
2023-10-05,2373242,1828462,1114288,679954,5995946
2023-10-06,2409040,1796710,1124291,669857,5999898
2023-10-07,1673218,1035268,553101,438083,3699670
2023-10-08,1255611,754771,376655,330386,2717423
2023-10-09,2218285,1743584,1046371,646850,5655090
2023-10-10,2322792,1800687,1113222,693726,5930427
2023-10-11,2448921,1834307,1135460,708504,6127192
2023-10-12,1536615,813426,443275,446203,3239519
2023-10-13,1954570,1371132,803371,517104,4646177
2023-10-14,1471207,883296,489648,394701,3238852
2023-10-15,1100573,656461,346485,306768,2410287
2023-10-16,2156159,1641980,1059667,636768,5494574
2023-10-17,2262592,1710497,1086524,662118,5721731
2023-10-18,2307953,1716294,1092472,669021,5785740
2023-10-19,2210730,1504066,950085,540930,5205811
2023-10-20,2369929,1681402,1092758,634434,5778523
2023-10-21,1547281,931949,521151,376178,3376559
2023-10-22,1164478,650100,339141,288250,2441969
2023-10-23,2231164,1647154,1049730,629338,5557386
2023-10-24,2320055,1716847,1094860,657273,5789035
2023-10-25,2347255,1737058,1099312,662740,5846365
2023-10-26,2320317,1648484,1040044,639999,5648844
2023-10-27,2462469,1716875,1113995,646819,5940158
2023-10-28,1660335,968422,526892,386998,3542647
2023-10-29,1220955,663694,346186,295616,2526451
2023-10-30,2246220,1674984,1064458,642785,5628447
2023-10-31,2560399,1791531,1174028,684778,6210736
2023-11-01,1170046,684786,376830,300364,2532026
2023-11-02,2254306,1579482,1003025,616576,5453389
2023-11-03,2373137,1668742,1065717,636709,5744305
2023-11-04,1508999,863746,472872,343173,3188790
2023-11-05,1217034,694110,354622,302432,2568198
2023-11-06,2272864,1689538,1066032,646685,5675119
2023-11-07,2414631,1720663,1090297,668165,5893756
2023-11-08,2493936,1764415,1102087,676395,6036833
2023-11-09,1391673,778199,749805,411829,3331506
2023-11-10,2236372,1584990,1039290,603839,5464491
2023-11-11,1560859,924384,515505,389489,3390237
2023-11-12,1298006,684075,368528,330565,2681174
2023-11-13,2221324,1663243,1056405,644794,5585766
2023-11-14,2323616,1720101,1092043,655562,5791322
2023-11-15,2365950,1697726,1145566,661354,5870596
2023-11-16,2371757,1686137,1065763,655422,5779079
2023-11-17,2455244,1709497,1108509,668832,5942082
2023-11-18,1739314,955367,546125,433290,3674096
2023-11-19,1225676,688026,364711,323964,2602377
2023-11-20,2241001,1675880,1069858,650993,5637732
2023-11-21,2355780,1715423,1091857,669871,5832931
2023-11-22,2397443,1715352,1088914,676302,5878011
2023-11-23,2479058,1727815,1095001,681199,5983073
2023-11-24,2534026,1795558,1118698,621325,6069607
2023-11-25,1836108,1043545,554229,425172,3859054
2023-11-26,1278494,764396,379882,321747,2744519
2023-11-27,2320842,1695347,1079651,602481,5698321
2023-11-28,2387645,1730110,1096819,623325,5837899
2023-11-29,2439909,1716246,1094526,649691,5900372
2023-11-30,2405327,1644888,1052113,620402,5722730
2023-12-01,2562692,1724485,1109067,653493,6049737
2023-12-02,1887287,994011,558676,434915,3874889
2023-12-03,1310762,684427,368248,318078,2681515
2023-12-04,2267161,1649581,1043200,624991,5584933
2023-12-05,2447870,1714046,1101787,631244,5894947
2023-12-06,1503212,760709,450052,370379,3084352
2023-12-07,1857965,1156757,691383,435117,4141222
2023-12-08,1617686,793944,452950,368832,3233412
2023-12-09,1588364,887838,483325,353672,3313199
2023-12-10,1145499,616552,332361,281822,2376234
2023-12-11,2242209,1725446,1056458,612500,5636613
2023-12-12,2370074,1700660,1080499,644627,5795860
2023-12-13,2479214,1720763,1087338,661718,5949033
2023-12-14,2468457,1726685,1093311,656305,5944758
2023-12-15,2587679,1727555,1119305,646033,6080572
2023-12-16,1866313,1015716,569026,421844,3872899
2023-12-17,1388460,733260,387195,333598,2842513
2023-12-18,2325777,1669925,1048836,644524,5689062
2023-12-19,2424413,1701269,1067478,644862,5838022
2023-12-20,2437391,1670642,1054315,643214,5805562
2023-12-21,2432377,1683197,1061301,636823,5813698
2023-12-22,2272102,1564686,994810,591207,5422805
2023-12-23,1506599,942950,513173,368698,3331420
2023-12-24,845662,507347,280444,221378,1854831
2023-12-25,669494,360807,186479,188747,1405527
2023-12-26,1782567,1181091,717275,494248,4175181
2023-12-27,1900989,1240866,749823,523457,4415135
2023-12-28,1906391,1229269,743479,510250,4389389
2023-12-29,1867870,1224719,726375,490035,4308999
2023-12-30,1437815,888385,474054,353430,3153684
2023-12-31,1024351,496781,267602,231766,2020500
2024-01-01,724179,352350,178407,184742,1439678
2024-01-02,1723388,1143988,694965,461205,4023546
2024-01-03,1862751,1222397,728267,483965,4297380
2024-01-04,1865744,1218430,743031,482422,4309627
2024-01-05,1940825,1196201,690988,486210,4314224
2024-01-06,984441,539007,284178,246778,2054404
2024-01-07,1093946,645814,349936,285276,2374972
2024-01-08,2041458,1586179,967198,567528,5162363
2024-01-09,2124018,1644267,993601,583788,5345674
2024-01-10,2171720,1570406,987115,590292,5319533
2024-01-11,2198526,1587568,997683,590521,5374298
2024-01-12,2275519,1592422,1029070,599287,5496298
2024-01-13,1518823,893819,505804,358173,3276619
2024-01-14,1057265,597096,320301,260114,2234776
2024-01-15,2101543,1545203,973715,580456,5200917
2024-01-16,2187259,1610256,1012195,602735,5412445
2024-01-17,2224445,1603140,997934,599234,5424753
2024-01-18,2289609,1629429,1020808,626258,5566104
2024-01-19,2271856,1485971,971945,582485,5312257
2024-01-20,1614987,937610,524884,401210,3478691
2024-01-21,1207860,669194,357239,308614,2542907
2024-01-22,2172729,1604781,1020001,609565,5407076
2024-01-23,2269893,1660983,1049416,628952,5609244
2024-01-24,2330282,1681945,1053036,634763,5700026
2024-01-25,2397125,1680897,1061467,635604,5775093
2024-01-26,2362298,1647459,1059116,627879,5696752
2024-01-27,1673097,952681,541778,411846,3579402
2024-01-28,1303618,697646,375381,329984,2706629
2024-01-29,2174623,1630276,1025598,599846,5430343
2024-01-30,2326674,1701430,1077439,654309,5759852
2024-01-31,2386285,1709633,1084428,658591,5838937
2024-02-01,2373673,1725229,1093245,631506,5823653
2024-02-02,2435442,1709744,1103141,656405,5904732
2024-02-03,1660742,969893,551822,408057,3590514
2024-02-04,1300212,711032,378592,327972,2717808
2024-02-05,2257736,1668919,1073031,639478,5639164
2024-02-06,2355884,1728623,1096956,670140,5851603
2024-02-07,2433945,1711031,1096443,675134,5916553
2024-02-08,2382098,1691100,1071093,654142,5798433
2024-02-09,2401728,1601080,1059727,537163,5599698
2024-02-10,1714898,928839,517195,394349,3555281
2024-02-11,1227914,624212,336844,293253,2482223
2024-02-12,2284405,1660136,1066982,638722,5650245
2024-02-13,2365280,1713982,1099252,607005,5785519
2024-02-14,2478822,1761345,1125530,670576,6036273
2024-02-15,2367001,1665498,1068388,646450,5747337
2024-02-16,2454254,1696667,1111176,646032,5908129
2024-02-17,1718986,966268,549189,304250,3538693
2024-02-18,1251239,689863,368603,327327,2637032
2024-02-19,2259006,1671773,1076548,641821,5649148
2024-02-20,2362038,1725149,1108242,668333,5863762
2024-02-21,2516156,1627333,1122411,703712,5969612
2024-02-22,2274780,1502114,962591,627152,5366637
2024-02-23,2239583,1424602,915738,591679,5171602
2024-02-24,1598474,889461,508551,363580,3360066
2024-02-25,1215188,624872,330918,295155,2466133
2024-02-26,2301552,1606472,1054780,558632,5521436
2024-02-27,2379233,1716368,1088079,660095,5843775
2024-02-28,2413834,1731251,1097630,653198,5895913
2024-02-29,2443681,1730897,1105455,652785,5932818
2024-03-01,2499376,1713859,1121946,658324,5993505
2024-03-02,1529535,807556,462144,345090,3144325
2024-03-03,1268313,651217,360561,308688,2588779
2024-03-04,2267824,1656955,1069200,633091,5627070
2024-03-05,2385148,1737726,1114211,665838,5902923
2024-03-06,2474988,1739542,1119643,677471,6011644
2024-03-07,2416643,1677958,1070731,648038,5813370
2024-03-08,2503358,1626391,1072448,620353,5822550
2024-03-09,1642451,895802,496019,372682,3406954
2024-03-10,1245914,657583,346682,301931,2552110
2024-03-11,2254217,1675415,1061903,636125,5627660
2024-03-12,2364834,1737581,1099889,661926,5864230
2024-03-13,2435751,1746532,1108188,668374,5958845
2024-03-14,2405087,1725959,1100357,658423,5889826
2024-03-15,2454398,1709213,1114604,656729,5934944
2024-03-16,1695296,966161,555201,416219,3632877
2024-03-17,1290522,699965,379530,326478,2696495
2024-03-18,2251418,1666060,1073048,579751,5570277
2024-03-19,2333536,1714474,1093929,658851,5800790
2024-03-20,2377010,1710940,1105500,673660,5867110
2024-03-21,2421492,1722041,1127475,664377,5935385
2024-03-22,2192418,1444418,941122,609736,5187694
2024-03-23,1544673,891269,517421,403433,3356796
2024-03-24,1218172,671490,383982,312477,2586121
2024-03-25,1723618,1179785,757622,486428,4147453
2024-03-26,1837898,1201121,758544,493119,4290682
2024-03-27,1681470,1117381,707890,461433,3968174
2024-03-28,1112560,612835,358249,281708,2365352
2024-03-29,1067683,546516,307640,244714,2166553
2024-03-30,1187986,666596,386758,288205,2529545
2024-03-31,1043883,498544,303619,248152,2094198
2024-04-01,1825845,1266292,770011,494233,4356381
2024-04-02,2275089,1710780,1072521,643061,5701451
2024-04-03,2375060,1783852,1106577,652014,5917503
2024-04-04,2405788,1731757,1110467,658628,5906640
2024-04-05,2472944,1722563,1131512,656639,5983658
2024-04-06,1703938,951443,565913,419985,3641279
2024-04-07,1267324,687377,379994,323682,2658377
2024-04-08,2290661,1681826,1088130,638902,5699519
2024-04-09,2448572,1746423,1123139,669141,5987275
2024-04-10,2470927,1749892,1119158,676334,6016311
2024-04-11,2431426,1745603,1124668,674140,5975837
2024-04-12,2492814,1732362,1143381,672325,6040882
2024-04-13,1716564,998108,580201,429831,3724704
2024-04-14,1280869,721951,397587,339992,2740399
2024-04-15,2264789,1691615,1092400,644055,5692859
2024-04-16,2367763,1751858,1122233,668483,5910337
2024-04-17,2418483,1746075,1130640,671634,5966832
2024-04-18,2420557,1747568,1127065,669088,5964278
2024-04-19,2463068,1727976,1136365,664479,5991888
2024-04-20,1672098,981802,568836,416956,3639692
2024-04-21,1339580,712460,389825,340401,2782266
2024-04-22,2311291,1691268,1062253,649533,5714345
2024-04-23,2419797,1748883,1089737,675737,5934154
2024-04-24,2428779,1755067,1095261,680251,5959358
2024-04-25,2449118,1746116,1095914,623710,5914858
2024-04-26,2489371,1715650,1100747,655525,5961293
2024-04-27,1664249,906325,494796,378870,3444240
2024-04-28,1422535,626405,359817,331603,2740360
2024-04-29,2271572,1675592,1046570,517877,5511611
2024-04-30,2401874,1750232,1094354,653717,5900177
2024-05-01,1240630,680006,383987,207741,2512364
2024-05-02,1305004,774684,437688,284498,2801874
2024-05-03,1797737,1269253,754757,410190,4231937
2024-05-04,1481907,896795,498254,326722,3203678
2024-05-05,1155582,654402,342046,255733,2407763
2024-05-06,2249970,1679376,1030425,594327,5554098
2024-05-07,2370281,1757708,1087858,633524,5849371
2024-05-08,2507173,1749103,1077561,647416,5981253
2024-05-09,2412405,1740546,1065970,637016,5855937
2024-05-10,2497047,1751708,1100633,646871,5996259
2024-05-11,1711469,1002310,546534,400247,3660560
2024-05-12,1377848,714306,378951,336276,2807381
2024-05-13,2239453,1686064,1035739,611127,5572383
2024-05-14,2509185,1804271,1078269,646850,6038575
2024-05-15,1541687,837600,684548,402295,3466130
2024-05-16,2335849,1688687,1047848,625520,5697904
2024-05-17,2378977,1654224,1060451,627186,5720838
2024-05-18,1633398,955789,523376,391014,3503577
2024-05-19,1257048,680675,352521,317912,2608156
2024-05-20,2204795,1650874,1006456,612974,5475099
2024-05-21,2310070,1657307,1019150,633596,5620123
2024-05-22,2342460,1698454,1049922,650819,5741655
2024-05-23,2343460,1702577,1044973,640414,5731424
2024-05-24,2412371,1699173,1076538,646454,5834536
2024-05-25,1650355,956786,526548,397512,3531201
2024-05-26,1255965,676741,362977,314377,2610060
2024-05-27,2207912,1625844,1016078,616895,5466729
2024-05-28,2309454,1689321,1039783,635724,5674282
2024-05-29,2415770,1703491,1047636,647507,5814404
2024-05-30,2437302,1710719,1031146,638014,5817181
2024-05-31,2438101,1706938,1055812,633081,5833932
2024-06-01,1761673,988871,528879,403179,3682602
2024-06-02,1384050,698378,379781,345142,2807351
2024-06-03,2182582,1642125,997603,611251,5433561
2024-06-04,2292745,1704261,1029751,630764,5657521
2024-06-05,2329228,1711186,1032878,640965,5714257
2024-06-06,2351028,1703852,1044076,626922,5725878
2024-06-07,2327222,1665857,1051002,618050,5662131
2024-06-08,1558565,898808,503485,366541,3327399
2024-06-09,1229869,724371,388219,317494,2659953
2024-06-10,2113050,1547249,948522,568147,5176968
2024-06-11,2275110,1688580,1046630,622238,5632558
2024-06-12,2317163,1670787,1033685,627585,5649220
2024-06-13,2317870,1681419,1041646,625815,5666750
2024-06-14,2342229,1656067,1036151,618176,5652623
2024-06-15,1567858,958099,541595,400737,3468289
2024-06-16,1258871,724831,397785,324807,2706294
2024-06-17,2173786,1592974,998245,595864,5360869
2024-06-18,2235446,1630904,1016335,610020,5492705
2024-06-19,2274857,1641082,1036801,628321,5581061
2024-06-20,2243591,1575272,994929,603525,5417317
2024-06-21,2267206,1591032,1026890,601614,5486742
2024-06-22,1502300,900508,528145,386685,3317638
2024-06-23,1180236,692189,400009,315048,2587482
2024-06-24,2050048,1477511,931324,579294,5038177
2024-06-25,2141018,1521234,960373,600232,5222857
2024-06-26,2148922,1499253,959083,600820,5208078
2024-06-27,2179975,1509173,965747,595316,5250211
2024-06-28,2142570,1440163,922308,576058,5081099
2024-06-29,1486358,894834,512569,373317,3267078
2024-06-30,1159308,684526,394044,309648,2547526
2024-07-01,1986631,1400214,901303,563907,4852055
2024-07-02,2059374,1449867,923245,583222,5015708
2024-07-03,2127213,1459073,933280,580864,5100430
2024-07-04,2111185,1412606,916215,568633,5008639
2024-07-05,2026540,1321815,864078,531919,4744352
2024-07-06,1514394,808946,502296,366196,3191832
2024-07-07,1146703,653485,382995,292611,2475794
2024-07-08,1902097,1315756,866331,539157,4623341
2024-07-09,1987153,1345585,879053,553216,4765007
2024-07-10,2012635,1350268,889531,561714,4814148
2024-07-11,1993749,1339573,873744,557391,4764457
2024-07-12,2005031,1286630,856064,540171,4687896
2024-07-13,1394735,793733,489629,345446,3023543
